Location,Property_Type,Price_INR,Area_sqft,BHK,Bathrooms,City,price_per_sqft
Lower Parel,Apartment,53100000.0,1479.0,2,2.0,Mumbai,35902.64
Lower Parel,Apartment,63100000.0,2616.0,3,3.0,Mumbai,24120.8
Bandra East,Apartment,6700000.0,3578.0,3,4.0,Mumbai,1872.55
Juhu,Apartment,87900000.0,2579.0,2,2.0,Mumbai,34082.98
Worli,Apartment,93600000.0,1162.0,1,2.0,Mumbai,80550.77
Malad West,Apartment,58700000.0,390.0,1,1.0,Mumbai,150512.82
Powai,Apartment,71200000.0,3519.0,3,2.0,Mumbai,20233.02
Lower Parel,Villa,92600000.0,1377.5,3,3.0,Mumbai,67223.23
Borivali West,Apartment,72200000.0,3536.0,1,2.0,Mumbai,20418.55
Bandra East,Studio,19500000.0,2257.0,4,4.0,Mumbai,8639.79
South Mumbai,Apartment,59700000.0,3775.0,1,2.0,Mumbai,15814.57
Kandivali East,Apartment,62600000.0,3255.0,2,3.0,Mumbai,19231.95
Powai,Studio,45300000.0,3992.0,3,3.0,Mumbai,11347.7
Worli,Apartment,75000000.0,1598.0,4,4.0,Mumbai,46933.67
Borivali West,Apartment,93800000.0,3139.0,3,3.0,Mumbai,29882.13
Worli,Apartment,92900000.0,1787.0,3,3.0,Mumbai,51986.57
Powai,Villa,47800000.0,1607.0,2,3.0,Mumbai,29744.87
Lower Parel,Apartment,15800000.0,2622.0,3,4.0,Mumbai,6025.93
Borivali West,Apartment,98600000.0,3533.0,1,1.0,Mumbai,27908.29
Worli,Apartment,84700000.0,3941.0,4,4.0,Mumbai,21492.01
Kandivali East,Apartment,16800000.0,3143.0,2,2.0,Mumbai,5345.21
Juhu,Apartment,92500000.0,1846.0,3,3.0,Mumbai,50108.34
Andheri West,Apartment,87600000.0,1859.0,2,3.0,Mumbai,47122.11
Juhu,Apartment,54300000.0,3029.0,3,3.0,Mumbai,17926.71
Powai,Apartment,61200000.0,1183.0,2,2.0,Mumbai,51732.88
Bandra East,Apartment,42900000.0,709.0,3,2.0,Mumbai,60507.76
Andheri West,Studio,10200000.0,1612.0,1,1.0,Mumbai,6327.54
Malad West,Apartment,36800000.0,1363.0,1,1.0,Mumbai,26999.27
Kandivali East,Apartment,81300000.0,1396.0,2,2.0,Mumbai,58237.82
Malad West,Villa,5400000.0,1164.0,1,1.0,Mumbai,4639.18
Borivali West,Apartment,36700000.0,456.0,4,4.0,Mumbai,80482.46
Chembur,Apartment,42800000.0,366.0,2,3.0,Mumbai,116939.89
Andheri West,Studio,56100000.0,3955.0,5,5.0,Mumbai,14184.58
Malad West,Studio,92400000.0,1883.0,2,1.0,Mumbai,49070.63
Malad West,Apartment,37900000.0,1722.0,1,1.0,Mumbai,22009.29
Worli,Studio,38000000.0,2815.0,3,3.0,Mumbai,13499.11
Juhu,Apartment,75100000.0,1108.0,3,3.0,Mumbai,67779.78
Worli,Apartment,48000000.0,3815.0,2,2.0,Mumbai,12581.91
Andheri West,Apartment,26300000.0,3209.0,2,2.0,Mumbai,8195.7
Andheri West,Studio,48000000.0,631.0,3,3.0,Mumbai,76069.73
