Location,Property_Type,Price_INR,Area_sqft,BHK,Bathrooms,price_per_sqft,Latitude,Longitude
Lower Parel,Apartment,53100000.0,1479.0,2,2,35902.64,18.99568,72.8302756
Lower Parel,Apartment,63100000.0,2616.0,3,3,24120.8,18.99568,72.8302756
Bandra East,Apartment,6700000.0,3578.0,3,4,1872.55,19.0616565,72.8498111
Juhu,Apartment,87900000.0,2579.0,2,2,34082.98,19.1070215,72.8275275
Worli,Apartment,93600000.0,1162.0,1,2,80550.77,19.0117388,72.8178706
Malad West,Apartment,58700000.0,390.0,1,1,150512.82,19.1852851,72.8358611
Powai,Apartment,71200000.0,3519.0,3,2,20233.02,19.1187195,72.9073476
Lower Parel,Villa,92600000.0,2102.5,3,3,44042.81,18.99568,72.8302756
Borivali West,Apartment,72200000.0,3536.0,1,2,20418.55,19.2298129,72.8471376
Bandra East,Studio,19500000.0,2257.0,4,4,8639.79,19.0616565,72.8498111
South Mumbai,Apartment,59700000.0,3775.0,1,2,15814.57,18.9752099,72.8239654
Kandivali East,Apartment,62600000.0,3255.0,2,3,19231.95,19.2051958,72.8626165
Powai,Studio,45300000.0,3992.0,3,3,11347.7,19.1187195,72.9073476
Worli,Apartment,75000000.0,1598.0,4,4,46933.67,19.0117388,72.8178706
Borivali West,Apartment,93800000.0,3139.0,3,3,29882.13,19.2298129,72.8471376
Worli,Apartment,92900000.0,1787.0,3,3,51986.57,19.0117388,72.8178706
Powai,Villa,47800000.0,1877.0,2,3,25466.17,19.1187195,72.9073476
Lower Parel,Apartment,15800000.0,2622.0,3,4,6025.93,18.99568,72.8302756
Borivali West,Apartment,98600000.0,3533.0,1,1,27908.29,19.2298129,72.8471376
Worli,Apartment,84700000.0,3941.0,4,4,21492.01,19.0117388,72.8178706
Kandivali East,Apartment,16800000.0,3143.0,2,2,5345.21,19.2051958,72.8626165
Juhu,Apartment,92500000.0,1846.0,3,3,50108.34,19.1070215,72.8275275
Andheri West,Apartment,87600000.0,1859.0,2,3,47122.11,19.1172495,72.833968
Juhu,Apartment,54300000.0,3029.0,3,3,17926.71,19.1070215,72.8275275
Powai,Apartment,61200000.0,1183.0,2,2,51732.88,19.1187195,72.9073476
Bandra East,Apartment,42900000.0,709.0,3,2,60507.76,19.0616565,72.8498111
Andheri West,Studio,10200000.0,1612.0,1,1,6327.54,19.1172495,72.833968
Malad West,Apartment,36800000.0,1363.0,1,1,26999.27,19.1852851,72.8358611
Kandivali East,Apartment,81300000.0,1396.0,2,2,58237.82,19.2051958,72.8626165
Malad West,Villa,5400000.0,1164.0,1,1,4639.18,19.1852851,72.8358611
Borivali West,Apartment,36700000.0,456.0,4,4,80482.46,19.2298129,72.8471376
Chembur,Apartment,42800000.0,366.0,2,3,116939.89,19.054818,72.8979713
Andheri West,Studio,56100000.0,3955.0,5,5,14184.58,19.1172495,72.833968
