Property_Name,Location,Property_Type,Price_INR,Area_sqft,BHK,Bathrooms,Listing_URL
Premium 3 BHK in Bhawarkua,Vijay Nagar,Apartment,4200000.0,936.0,3,3.0,https://www.sample-realestate.com/indore-property/0
Premium 2 BHK in Nipania,LIG Colony,Apartment,11200000.0,1445.0,3,4.0,https://www.sample-realestate.com/indore-property/1
Premium 3 BHK in Super Corridor,Sudama Nagar,Apartment,4500000.0,1926.0,1,1.0,https://www.sample-realestate.com/indore-property/2
Premium 2 BHK in Vijay Nagar,Bypass Road,Apartment,6000000.0,1999.0,2,2.0,https://www.sample-realestate.com/indore-property/3
Premium 2 BHK in Super Corridor,Sudama Nagar,Apartment,6400000.0,1505.0,3,3.0,https://www.sample-realestate.com/indore-property/4
Premium 1 BHK in Vijay Nagar,Bypass Road,Independent House,2100000.0,2986.0,2,2.0,https://www.sample-realestate.com/indore-property/5
Premium 2 BHK in Nipania,Vijay Nagar,Apartment,7500000.0,539.0,3,4.0,https://www.sample-realestate.com/indore-property/6
Premium 5 BHK in Vijay Nagar,AB Road,Apartment,12800000.0,2689.0,5,4.0,https://www.sample-realestate.com/indore-property/7
Premium 1 BHK in Rau,Nipania,Apartment,4300000.0,1525.0,1,1.0,https://www.sample-realestate.com/indore-property/8
Premium 2 BHK in LIG Colony,Bhawarkua,Studio,7100000.0,2655.0,4,4.0,https://www.sample-realestate.com/indore-property/9
Premium 4 BHK in Bhawarkua,Rau,Apartment,12400000.0,858.0,2,2.0,https://www.sample-realestate.com/indore-property/10
Premium 5 BHK in LIG Colony,Nipania,Apartment,8900000.0,1335.0,2,2.0,https://www.sample-realestate.com/indore-property/11
Premium 3 BHK in Rau,Nipania,Apartment,7600000.0,2955.0,2,1.0,https://www.sample-realestate.com/indore-property/12
Premium 1 BHK in Vijay Nagar,Super Corridor,Apartment,8000000.0,2010.0,3,3.0,https://www.sample-realestate.com/indore-property/13
Premium 2 BHK in Nipania,LIG Colony,Apartment,13100000.0,2052.0,1,1.0,https://www.sample-realestate.com/indore-property/14
Premium 5 BHK in Rau,Palasia,Apartment,3000000.0,2725.0,3,4.0,https://www.sample-realestate.com/indore-property/15
Premium 2 BHK in AB Road,Bypass Road,Apartment,7900000.0,786.0,2,2.0,https://www.sample-realestate.com/indore-property/16
Premium 4 BHK in Bhawarkua,Vijay Nagar,Villa,11700000.0,,4,3.0,https://www.sample-realestate.com/indore-property/17
Premium 2 BHK in Bypass Road,Palasia,Apartment,10100000.0,2717.0,2,2.0,https://www.sample-realestate.com/indore-property/18
Premium 4 BHK in AB Road,Rau,Apartment,3100000.0,1958.0,2,2.0,https://www.sample-realestate.com/indore-property/19
Premium 1 BHK in Bhawarkua,LIG Colony,Apartment,11600000.0,2806.0,3,3.0,https://www.sample-realestate.com/indore-property/20
Premium 3 BHK in Sudama Nagar,Bhawarkua,Apartment,8900000.0,2224.0,2,2.0,https://www.sample-realestate.com/indore-property/21
Premium 3 BHK in Rau,Rau,Apartment,9700000.0,979.0,2,2.0,https://www.sample-realestate.com/indore-property/22
Premium 4 BHK in Rau,Bypass Road,Apartment,9300000.0,2886.0,2,2.0,https://www.sample-realestate.com/indore-property/23
Premium 4 BHK in Vijay Nagar,Nipania,Apartment,13600000.0,2493.0,3,,https://www.sample-realestate.com/indore-property/24
Premium 5 BHK in LIG Colony,Rau,Apartment,5300000.0,2644.0,1,1.0,https://www.sample-realestate.com/indore-property/25
Premium 4 BHK in Sudama Nagar,Super Corridor,Villa,6200000.0,811.0,2,2.0,https://www.sample-realestate.com/indore-property/26
Premium 2 BHK in AB Road,Sudama Nagar,Villa,10700000.0,738.0,3,,https://www.sample-realestate.com/indore-property/27
Premium 2 BHK in Bhawarkua,Bhawarkua,Studio,12300000.0,2186.0,3,3.0,https://www.sample-realestate.com/indore-property/28
Premium 5 BHK in Bypass Road,LIG Colony,Villa,3800000.0,2021.0,2,2.0,https://www.sample-realestate.com/indore-property/29
Premium 2 BHK in Bhawarkua,LIG Colony,Villa,6800000.0,1464.0,3,4.0,https://www.sample-realestate.com/indore-property/30
Premium 2 BHK in Palasia,LIG Colony,Independent House,10800000.0,898.0,2,3.0,https://www.sample-realestate.com/indore-property/31
Premium 4 BHK in AB Road,Rau,Independent House,10200000.0,1735.0,2,2.0,https://www.sample-realestate.com/indore-property/32
Premium 2 BHK in Vijay Nagar,LIG Colony,Apartment,10600000.0,947.0,2,2.0,https://www.sample-realestate.com/indore-property/33
Premium 1 BHK in Palasia,Bypass Road,Apartment,4800000.0,806.0,4,4.0,https://www.sample-realestate.com/indore-property/34
Premium 4 BHK in Nipania,Rau,Studio,14300000.0,2677.0,5,4.0,https://www.sample-realestate.com/indore-property/35
Premium 4 BHK in AB Road,Vijay Nagar,Villa,13200000.0,1799.0,3,3.0,https://www.sample-realestate.com/indore-property/36
Premium 2 BHK in LIG Colony,LIG Colony,Villa,11100000.0,1298.0,3,3.0,https://www.sample-realestate.com/indore-property/37
Premium 2 BHK in Bhawarkua,Sudama Nagar,Apartment,7900000.0,2299.0,3,3.0,https://www.sample-realestate.com/indore-property/38
Premium 4 BHK in Nipania,Nipania,Villa,9000000.0,2911.0,1,1.0,https://www.sample-realestate.com/indore-property/39
Premium 4 BHK in Bypass Road,Rau,Apartment,9300000.0,540.0,2,1.0,https://www.sample-realestate.com/indore-property/40
