Property_Name,Location,Property_Type,Price_INR,Area_sqft,BHK,Bathrooms,Listing_URL,City
Luxury 4 BHK in South Mumbai,Lower Parel,Apartment,53100000.0,1479.0,2,2.0,https://www.sample-realestate.com/mumbai/property/0,Mumbai
Luxury 5 BHK in Borivali West,Lower Parel,Apartment,63100000.0,2616.0,3,3.0,https://www.sample-realestate.com/mumbai/property/1,Mumbai
Luxury 2 BHK in Juhu,Bandra East,Apartment,6700000.0,3578.0,3,4.0,https://www.sample-realestate.com/mumbai/property/2,Mumbai
Luxury 3 BHK in South Mumbai,Juhu,Apartment,87900000.0,2579.0,2,2.0,https://www.sample-realestate.com/mumbai/property/3,Mumbai
Luxury 5 BHK in Powai,Worli,Apartment,93600000.0,1162.0,1,2.0,https://www.sample-realestate.com/mumbai/property/4,Mumbai
Luxury 3 BHK in Goregaon East,Malad West,Apartment,58700000.0,390.0,1,1.0,https://www.sample-realestate.com/mumbai/property/5,Mumbai
Luxury 5 BHK in Bandra East,Powai,Apartment,71200000.0,3519.0,3,2.0,https://www.sample-realestate.com/mumbai/property/6,Mumbai
Luxury 4 BHK in Goregaon East,Lower Parel,Villa,92600000.0,,3,3.0,https://www.sample-realestate.com/mumbai/property/7,Mumbai
Luxury 2 BHK in Chembur,Borivali West,Apartment,72200000.0,3536.0,1,2.0,https://www.sample-realestate.com/mumbai/property/8,Mumbai
Luxury 5 BHK in Andheri West,Bandra East,Studio,19500000.0,2257.0,4,4.0,https://www.sample-realestate.com/mumbai/property/9,Mumbai
Luxury 4 BHK in Lower Parel,South Mumbai,Apartment,59700000.0,3775.0,1,2.0,https://www.sample-realestate.com/mumbai/property/10,Mumbai
Luxury 5 BHK in Chembur,Kandivali East,Apartment,62600000.0,3255.0,2,3.0,https://www.sample-realestate.com/mumbai/property/11,Mumbai
Luxury 1 BHK in Andheri West,Powai,Studio,45300000.0,3992.0,3,3.0,https://www.sample-realestate.com/mumbai/property/12,Mumbai
Luxury 3 BHK in South Mumbai,Worli,Apartment,75000000.0,1598.0,4,4.0,https://www.sample-realestate.com/mumbai/property/13,Mumbai
Luxury 2 BHK in Chembur,Borivali West,Apartment,93800000.0,3139.0,3,3.0,https://www.sample-realestate.com/mumbai/property/14,Mumbai
Luxury 4 BHK in Juhu,Worli,Apartment,92900000.0,1787.0,3,3.0,https://www.sample-realestate.com/mumbai/property/15,Mumbai
Luxury 4 BHK in Malad West,Powai,Villa,47800000.0,,2,3.0,https://www.sample-realestate.com/mumbai/property/16,Mumbai
Luxury 4 BHK in Worli,Lower Parel,Apartment,15800000.0,2622.0,3,4.0,https://www.sample-realestate.com/mumbai/property/17,Mumbai
Luxury 3 BHK in Borivali West,Borivali West,Apartment,98600000.0,3533.0,1,1.0,https://www.sample-realestate.com/mumbai/property/18,Mumbai
Luxury 3 BHK in Malad West,Worli,Apartment,84700000.0,3941.0,4,4.0,https://www.sample-realestate.com/mumbai/property/19,Mumbai
Luxury 5 BHK in Worli,Kandivali East,Apartment,16800000.0,3143.0,2,2.0,https://www.sample-realestate.com/mumbai/property/20,Mumbai
Luxury 2 BHK in Powai,Juhu,Apartment,92500000.0,1846.0,3,3.0,https://www.sample-realestate.com/mumbai/property/21,Mumbai
Luxury 1 BHK in Chembur,Andheri West,Apartment,87600000.0,1859.0,2,3.0,https://www.sample-realestate.com/mumbai/property/22,Mumbai
Luxury 2 BHK in Lower Parel,Juhu,Apartment,54300000.0,3029.0,3,3.0,https://www.sample-realestate.com/mumbai/property/23,Mumbai
Luxury 1 BHK in Lower Parel,Powai,Apartment,61200000.0,1183.0,2,2.0,https://www.sample-realestate.com/mumbai/property/24,Mumbai
Luxury 5 BHK in Bandra East,Bandra East,Apartment,42900000.0,709.0,3,2.0,https://www.sample-realestate.com/mumbai/property/25,Mumbai
Luxury 4 BHK in Chembur,Andheri West,Studio,10200000.0,1612.0,1,1.0,https://www.sample-realestate.com/mumbai/property/26,Mumbai
Luxury 4 BHK in Malad West,Malad West,Apartment,36800000.0,1363.0,1,1.0,https://www.sample-realestate.com/mumbai/property/27,Mumbai
Luxury 4 BHK in Kandivali East,Kandivali East,Apartment,81300000.0,1396.0,2,2.0,https://www.sample-realestate.com/mumbai/property/28,Mumbai
Luxury 3 BHK in Andheri West,Malad West,Villa,5400000.0,1164.0,1,1.0,https://www.sample-realestate.com/mumbai/property/29,Mumbai
Luxury 4 BHK in Bandra East,Borivali West,Apartment,36700000.0,456.0,4,4.0,https://www.sample-realestate.com/mumbai/property/30,Mumbai
Luxury 4 BHK in Bandra East,Chembur,Apartment,42800000.0,366.0,2,3.0,https://www.sample-realestate.com/mumbai/property/31,Mumbai
Luxury 2 BHK in Powai,Andheri West,Studio,56100000.0,3955.0,5,5.0,https://www.sample-realestate.com/mumbai/property/32,Mumbai
Luxury 5 BHK in Bandra East,Malad West,Studio,92400000.0,1883.0,2,1.0,https://www.sample-realestate.com/mumbai/property/33,Mumbai
Luxury 2 BHK in Chembur,Malad West,Apartment,37900000.0,1722.0,1,1.0,https://www.sample-realestate.com/mumbai/property/34,Mumbai
Luxury 2 BHK in Lower Parel,Worli,Studio,38000000.0,2815.0,3,3.0,https://www.sample-realestate.com/mumbai/property/35,Mumbai
Luxury 4 BHK in Kandivali East,Juhu,Apartment,75100000.0,1108.0,3,3.0,https://www.sample-realestate.com/mumbai/property/36,Mumbai
Luxury 4 BHK in Worli,Worli,Apartment,48000000.0,3815.0,2,2.0,https://www.sample-realestate.com/mumbai/property/37,Mumbai
Luxury 5 BHK in Bandra East,Andheri West,Apartment,26300000.0,3209.0,2,2.0,https://www.sample-realestate.com/mumbai/property/38,Mumbai
Luxury 5 BHK in Kandivali East,Andheri West,Studio,48000000.0,631.0,3,3.0,https://www.sample-realestate.com/mumbai/property/39,Mumbai
Luxury 2 BHK in Worli,Powai,Apartment,18400000.0,1845.0,2,2.0,https://www.sample-realestate.com/mumbai/property/40,Mumbai
Luxury 4 BHK in Chembur,Worli,Apartment,21800000.0,3553.0,5,5.0,https://www.sample-realestate.com/mumbai/property/41,Mumbai
Luxury 4 BHK in Worli,Goregaon East,Apartment,52300000.0,,5,6.0,https://www.sample-realestate.com/mumbai/property/42,Mumbai
Luxury 5 BHK in Andheri West,South Mumbai,Apartment,44800000.0,2029.0,3,3.0,https://www.sample-realestate.com/mumbai/property/43,Mumbai
Luxury 1 BHK in Malad West,Juhu,Apartment,91900000.0,2570.0,1,1.0,https://www.sample-realestate.com/mumbai/property/44,Mumbai
Luxury 1 BHK in Kandivali East,Andheri West,Apartment,39400000.0,918.0,3,3.0,https://www.sample-realestate.com/mumbai/property/45,Mumbai
Luxury 1 BHK in Chembur,Powai,Apartment,60200000.0,3967.0,1,1.0,https://www.sample-realestate.com/mumbai/property/46,Mumbai
Luxury 3 BHK in Juhu,Chembur,Apartment,65100000.0,1157.0,1,1.0,https://www.sample-realestate.com/mumbai/property/47,Mumbai
Luxury 1 BHK in Kandivali East,Worli,Apartment,6200000.0,3788.0,2,2.0,https://www.sample-realestate.com/mumbai/property/48,Mumbai
Luxury 3 BHK in Juhu,Juhu,Apartment,68000000.0,2704.0,2,3.0,https://www.sample-realestate.com/mumbai/property/49,Mumbai
Luxury 1 BHK in South Mumbai,Chembur,Apartment,21900000.0,2549.0,4,4.0,https://www.sample-realestate.com/mumbai/property/50,Mumbai
Luxury 5 BHK in Lower Parel,Worli,Apartment,96300000.0,2197.0,3,3.0,https://www.sample-realestate.com/mumbai/property/51,Mumbai
Luxury 2 BHK in Worli,Malad West,Studio,19100000.0,1153.0,3,3.0,https://www.sample-realestate.com/mumbai/property/52,Mumbai
Luxury 4 BHK in Malad West,Chembur,Apartment,44400000.0,953.0,2,2.0,https://www.sample-realestate.com/mumbai/property/53,Mumbai
Luxury 1 BHK in Kandivali East,Powai,Apartment,13100000.0,1116.0,2,2.0,https://www.sample-realestate.com/mumbai/property/54,Mumbai
Luxury 4 BHK in Bandra East,Juhu,Apartment,99700000.0,990.0,2,1.0,https://www.sample-realestate.com/mumbai/property/55,Mumbai
Luxury 1 BHK in Malad West,Lower Parel,Apartment,52700000.0,3184.0,5,4.0,https://www.sample-realestate.com/mumbai/property/56,Mumbai
Luxury 5 BHK in Juhu,Borivali West,Apartment,61600000.0,1595.0,1,2.0,https://www.sample-realestate.com/mumbai/property/57,Mumbai
Luxury 4 BHK in Kandivali East,Borivali West,Apartment,11400000.0,514.0,4,4.0,https://www.sample-realestate.com/mumbai/property/58,Mumbai
Luxury 3 BHK in Juhu,Juhu,Apartment,76200000.0,3886.0,2,2.0,https://www.sample-realestate.com/mumbai/property/59,Mumbai
Luxury 1 BHK in Juhu,Chembur,Apartment,24900000.0,3570.0,2,2.0,https://www.sample-realestate.com/mumbai/property/60,Mumbai
Luxury 5 BHK in Juhu,Worli,Apartment,90300000.0,3733.0,3,3.0,https://www.sample-realestate.com/mumbai/property/61,Mumbai
Luxury 1 BHK in Borivali West,Powai,Apartment,24500000.0,3981.0,2,1.0,https://www.sample-realestate.com/mumbai/property/62,Mumbai
Luxury 2 BHK in Malad West,South Mumbai,Apartment,23100000.0,943.0,4,4.0,https://www.sample-realestate.com/mumbai/property/63,Mumbai
Luxury 3 BHK in Worli,Borivali West,Apartment,8500000.0,1766.0,4,3.0,https://www.sample-realestate.com/mumbai/property/64,Mumbai
Luxury 2 BHK in Lower Parel,Powai,Apartment,49800000.0,3105.0,2,3.0,https://www.sample-realestate.com/mumbai/property/65,Mumbai
Luxury 4 BHK in Juhu,Borivali West,Apartment,58700000.0,2875.0,2,2.0,https://www.sample-realestate.com/mumbai/property/66,Mumbai
Luxury 1 BHK in Powai,Malad West,Apartment,11200000.0,869.0,2,2.0,https://www.sample-realestate.com/mumbai/property/67,Mumbai
Luxury 5 BHK in Powai,Worli,Apartment,78700000.0,3319.0,4,5.0,https://www.sample-realestate.com/mumbai/property/68,Mumbai
Luxury 5 BHK in Malad West,Malad West,Villa,48100000.0,1130.0,2,2.0,https://www.sample-realestate.com/mumbai/property/69,Mumbai
Luxury 5 BHK in South Mumbai,Borivali West,Apartment,54800000.0,1128.0,3,3.0,https://www.sample-realestate.com/mumbai/property/70,Mumbai
