Property_Name,Location,Property_Type,Price_INR,Area_sqft,BHK,Bathrooms,Listing_URL
Luxury 4 BHK in South Mumbai,Lower Parel,Apartment,53100000.0,1479.0,2,2,https://www.sample-realestate.com/mumbai/property/0
Luxury 5 BHK in Borivali West,Lower Parel,Apartment,63100000.0,2616.0,3,3,https://www.sample-realestate.com/mumbai/property/1
Luxury 2 BHK in Juhu,Bandra East,Apartment,6700000.0,3578.0,3,4,https://www.sample-realestate.com/mumbai/property/2
Luxury 3 BHK in South Mumbai,Juhu,Apartment,87900000.0,2579.0,2,2,https://www.sample-realestate.com/mumbai/property/3
Luxury 5 BHK in Powai,Worli,Apartment,93600000.0,1162.0,1,2,https://www.sample-realestate.com/mumbai/property/4
Luxury 3 BHK in Goregaon East,Malad West,Apartment,58700000.0,390.0,1,1,https://www.sample-realestate.com/mumbai/property/5
Luxury 5 BHK in Bandra East,Powai,Apartment,71200000.0,3519.0,3,2,https://www.sample-realestate.com/mumbai/property/6
Luxury 4 BHK in Goregaon East,Lower Parel,Villa,92600000.0,,3,3,https://www.sample-realestate.com/mumbai/property/7
Luxury 2 BHK in Chembur,Borivali West,Apartment,72200000.0,3536.0,1,2,https://www.sample-realestate.com/mumbai/property/8
Luxury 5 BHK in Andheri West,Bandra East,Studio,19500000.0,2257.0,4,4,https://www.sample-realestate.com/mumbai/property/9
Luxury 4 BHK in Lower Parel,South Mumbai,Apartment,59700000.0,3775.0,1,2,https://www.sample-realestate.com/mumbai/property/10
Luxury 5 BHK in Chembur,Kandivali East,Apartment,62600000.0,3255.0,2,3,https://www.sample-realestate.com/mumbai/property/11
Luxury 1 BHK in Andheri West,Powai,Studio,45300000.0,3992.0,3,3,https://www.sample-realestate.com/mumbai/property/12
Luxury 3 BHK in South Mumbai,Worli,Apartment,75000000.0,1598.0,4,4,https://www.sample-realestate.com/mumbai/property/13
Luxury 2 BHK in Chembur,Borivali West,Apartment,93800000.0,3139.0,3,3,https://www.sample-realestate.com/mumbai/property/14
Luxury 4 BHK in Juhu,Worli,Apartment,92900000.0,1787.0,3,3,https://www.sample-realestate.com/mumbai/property/15
Luxury 4 BHK in Malad West,Powai,Villa,47800000.0,,2,3,https://www.sample-realestate.com/mumbai/property/16
